,body
10,"I am a TV producer for one of the three major networks and
I am working on a new primetime special. We're looking for a 
special story and thought you might be able to assist.
 
THIS IS NOT A SALES PITCH FOR ANYTHING! 
I AM REALLY LOOKING FOR A GREAT STORY!

-----------------
PLEASE READ THIS! 
-----------------

Here's the type of story we are seeking;

Are you interested in finding a long lost love from 
your past? 
Your first love? 
The one that got away?
 
If you are, WE MAY BE ABLE TO MAKE YOUR DREAM COME TRUE!
(if you are not, PLEASE send this to your single friends)
 
To be considered for this rare national TV opportunity, 
you MUST;
1. Be single and available
2. Have a sincere interest to find a former love
3. Be willing to share your story on NATIONAL TV
4. Be able to travel to Los Angeles (We pay for everything)
 
If this is YOU...then here's what you need to do next-
1. Reply to this email.
2. Tell us WHO you are looking for. 
3. Tell us WHY you want to find him/her. (Let your feelings out)
4. Tell us WHERE they were last time you saw them (specifics)
5. Tell us how to reach YOU BY PHONE- HOME, WORK, CELL, email
 
If we cannot reach you, we will have to move on without you!
 
We only need ONE story, so if you want it to be you...
REPLY IMMEDIATELY!
 
We look forward to getting your reply...SOON!
Good luck!
 
 
p.s. REMEMBER TO GIVE US A WAY TO REACH YOU BY PHONE TODAY!"
11,"Thank you for your interest!
Judgment Courses offers an extensive training
course in
""How to Collect MoneyJudgments""
If you are like many people, you are not even sure what a
Money Judgment is and
why processing Money Judgments
can earn you very substantial income
.
If you ever sue a company or a person and you win then you
will have a Money Judgment against them.
You are happy you won but you will soon find out the
shocking fact: ""Its now up to you to collect on the
Judgment"". The court does not require the loser to pay you.
The court will not even help you. You must trace the loser
down, find their assets, their employment, bank accounts,
real estate, stocks and bonds, etc.
Very few people know how to find these assets or what to do
when they are found. The result is that millions of
Judgments are just sitting in files and being forgotten.
""In 79% of the cases the winner of a Judgment never sees a
dime.""
The non-payment of judicial debt has grown to epidemic
proportions. Right now in the United States there is
between
200 and 300 billion dollars of uncollectedMoney
Judgment debt
. For every Judgment that is paid, 5more
Judgments take its place.
We identified this massive market 8 years ago and have
actively pursued Judicial Judgments since. We invented this
business. We have perfected it into a well proven and solid
profession in which only a select few will be trained in the
techniques necessary to succeed.
With our first hand experience we have built a course which
teaches you how to start your business in this new unknown
and exciting field of processing Money Judgments.
By following the steps laid out in our course and with
reasonable effort you can become very successful in the
processing of Money Judgments.
The income potential is substantial in this profession.
We
have associates who have taken our course and are now
working full time making $96,000.00 to over $200,000.00 per
year. Part time associates are earning between $24,000.00
and $100,000.00 per year
. Some choose to operateout of
their home and work by themselves. Others build a sizable
organization of 15 to 25 people in attractive business
offices.
Today our company and our associates have over 126
million dollars in Money Judgments that we are currently
processing. Of this 126 million, 25 million is in the form
of joint ventures between our firm and our associates.
Joint ventures are where we make our money. We only break
even when our course is purchased. We make a 12% margin on
the reports we supply to our associates. Our reporting
capability is so extensive that government agencies, police
officers, attorneys, credit agencies etc., all come to us
for reports.
Many of our associates already have real estate liens in
force of between 5 million to over 15 million dollars.
Legally this means that when the properties are sold or
refinanced our associate must be paid off. The norm is 10%
interest compounded annually on unpaid Money Judgments.
Annual interest on 5 million at 10% translates to
$500,000.00 annually in interest income, not counting the
payment of the principal.
Our associates earn half of this amount or $250,000.00 per
year. This is just for interest, not counting principle
and not counting the compounding of the interest which can
add substantial additional income. Typically companies are
sold for 10 times earnings. Just based on simple interest
an associate with 5 million in real estate liens could sell
their business for approximately 2.5 million dollars.
92% of all of our associates work out of their home; 43%
are women and 36% are part time .
One of the benefits of working in this field is that you are
not under any kind of time frame. If you decide to take off
for a month on vacation then go. The Judgments you are
working on will be there when you return. The Judgments
are still in force, they do not disappear.
The way we train you is non-confrontational. You use your
computer and telephone to do most of the processing. You
never confront the debtor. The debtor doesn't know who you
are. You are not a collection agency.
Simply stated the steps to successful Money Processing
are as follows:
Mail our recommended letter to companies and individuals
with Money Judgments. (We train you how to find out who
to write to)
8% to 11% of the firms and people you write will call you
and ask for your help. They call you, you don't call them
unless you want to.
You send them an agreement (supplied in the course) to
sign which splits every dollar you collect 50% to you and
50% to them. This applies no matter if the judgment is for
$2,000.00 or $2,000,000.00.
You then go on-line to our computers to find the debtor
and their assets. We offer over 120 powerful reports to
assist you. They range from credit reports from all three
credit bureaus, to bank account locates, employment
locates, skip traces and locating stocks and bonds, etc.
The prices of our reports are very low. Typically 1/2 to
1/3 of what other firms charge. For example we charge
$6.00 for an individuals credit report when some other
companies charge $25.00.
Once you find the debtor and their assets you file
garnishments and liens on the assets you have located.
(Standard fill in the blanks forms are included in the
course)
When you receive the assets you keep 50% and send 50% to
the original Judgment holder.
Once the Judgment is fully paid you mail a Satisfaction of
Judgment to the court. (Included in the course)
Quote's from several of our students:
Thomas in area code 516 writes us: ""I just wanted to drop
you a short note thanking you for your excellent course.
My
first week, part time, will net me 3,700.00 dollars
.Your
professionalism in both the manual and your support.
You have the video opened doors for me in the future.
There's no stopping me now. Recently Thomas states
he has over $8,500,000 worth of judgments he is working on""
After only having this course for four months, Larry S. in
area code 314 stated to us:
""I am now making $2,000.00 per
week
and expect this to grow to twice this amountwithin the
next year. I am having a ball. I have over $250,000 in
judgments I am collecting on now""
After having our course for 7 months Larry S. in 314 stated
""I am now making $12,000.00 per month and have approximately
$500,000.00 in judgments I am collecting on. Looks like I
will have to hire someone to help out""
Marshal in area code 407 states to us ""I feel bad, you only
charged me $259.00 for this course and it is a goldmine. I
have added 3 full time people to help me after only having
your course for 5 months""
>From the above information and actual results you can see
why we can state the following:
With our course you can own your own successful business.
A business which earns you substantial income now and one
which could be sold in 3-5 years, paying you enough to
retire on and travel the world. A business which is
extremely interesting to be in. A Business in which every
day is new and exciting.
None of your days will be hum-drum. Your brain is
Challenged. A business, which protects you from Corporate
Downsizing. A business which you can start part time from
your home and later, if you so desire, you can work in full
time. A business, which is your ticket to freedom from
others telling you what to do. A business, which lets you
control your own destiny. Our training has made this happen
for many others already. Make it happen for you!
If the above sounds interesting to you then its time for you
to talk to a real live human being, no cost or obligation
on your part.
Please call us at 1-281-500-4018
.
We have Service Support
staff available to you from 8:00am to
10:00pm (Central Time) 7 days a week
. If you callthis number
you can talk to one of our experienced Customer Support personnel.
They can answer any questions you may have - with no obligation.
Sometimes we run special pricing on our courses and combinations
of courses. When you call our Customer Support line they can let
you know of any specials we may be running. If you like what you
read and hear about our courses, then the Customer Support person
can work with you to place your order. We are very low key. We
merely give you the facts and you can then decide if you want to
work with us or not.
Thank you for your time and interest.
+++++
This ad is produced and sent out by:
UAS
To be deleted  from our mailing list please email us at roanna@elitists.com with ""delete"" in the sub-line.
or write us at:AdminScript-Update, P O B 1 2 0 0, O r a n  g e s t a d, A r  u b a
++++++
TO48 5-19 C18 P
3245611515161654646565
unbelievable
unbelievable
processing----------- for--------- your------------ future
unbelievable"
12,"HOME-MAILERS NEEDED!
  
$300-$1000 PLUS WEEKLY

Simple, pleasant work...you do at home.
  
  
Dear Friend,
  
Are you seeking a rewarding second income? Would you like to set your
own work schedule? Work the hours you choose? Earn extra income for
your family? If so, then we may have the answer. Current statistics show
that by the year 2010, 40-60% of the American work-force will be working
from home. Get a jump on your future and secure a job through us. Our
company provides a service to thousands of people and businesses across
the United States. With your help, we can reach and provide a better
service to more of these people and businesses, faster and at a lower cost
than our competitors. We handle a marketing program called the
Home-Mailers Program, which consists of envelope processing and mailing.
These positions require no special skills or experience, just a sincere desire
to GET STARTED, and EARN MONEY!
  
  YOU CAN EARN GOOD MONEY!!!
  
   Potential incomes range from $300 to $1000 weekly or more. Pay rate is
based on a $2.00 per envelope basis. The average Home-Mailer
stuffs anywhere from 150 to 500 envelopes a week, depending on the
amount of free time they have available. The envelopes you process will
make you a substantial income. You'll find this work, done easily and
quickly, can double or even triple your income. With just one or two hours
per day you will be excitedly surprised at how easy we've made it and how
profitable this work actually is. You can earn enough money working in
your spare time to purchase that new car or boat you've been wanting,
pay off credit cards, bills, or even take a vacation. Maybe just add more
financial security for yourself or your family. Whatever the reason, you can't
go wrong.
  
  ALL BUSINESS CAN BE DONE RIGHT FROM YOUR OWN HOME
  
  You can start the same day you receive our materials and begin receiving
money within a matter of days. These positions require no prior experience
or special skills. Under contract you will receive everything you need to
get you up and running as fast as possible. Paychecks are mailed out every
two weeks on the 1st and 16th of the month.
  
  HELP SOLVE YOUR MONEY PROBLEMS
  
   If you are looking for an excellent extra income to relieve financial
pressures, you owe it to yourself to investigate this program. Naturally, no
company can afford to send out costly materials to everyone who writes in
asking for it. Therefore, we must ask each applicant for a one time
application processing fee of $27.00. This fee covers processing and
materials you will receive upon your acceptance and is returned to you
with your first paycheck. It also assures us that you are serious about
working with our company as a Home-Mailer. We will not ask or require
you to pay us for any additional information, instructions, or materials to
stay with us, and stay with us as long as you desire. If for any reason you
are not accepted into the Home-Mailers Program, your processing fee will
be sent directly back to you. There is no hassle. However, you must act
promptly. At this time we are in need of dependable Home-Mailers in your
area, of whom may start in the very near future. There are only a limited
number of positions needed for each region of the country and as soon as
we have enough people to complete the mailing needs in your area we
will not be offering any more applications. We need your help now! So if
you're a productive, positive person we're looking forward to working with
you.
  
  SIMPLE, EASY, AND PROFITABLE, THIS PROGRAM IS THE BEST
  WAY TO MAKE AN EXCELLENT INCOME AT HOME.
  
  If this sounds like something you might be interested in, read on. If not,
thank you for your time. We hope to hear from you soon.
  
  
Sincerely Yours,

Ron M. Jenkins
Home-Mailing Division Manager
  
  
  
  Start earning now. Here's what you need to do.
 
  
(1) Read, complete, and return the attached application.
(2) Enclose a one time materials and processing fee of $27.00.
(3) All correspondence and materials will be addressed to you.
Please open on day of arrival.
(4) Follow all instructions when processing and mailing.
(5) If you find yourself pressed for time, you can stop work
with us and come back at a later date, but we must insist you
maintain a high level of quality when processing and mailing.
  
  OUR STEP-BY-STEP SYSTEM OF BROCHURE MAILING IS SIMPLE AND OUR
  INSTRUCTIONS ARE WRITTEN IN AN EASY TO FOLLOW LANGUAGE.
  
  There is a way to earn a substantial income at home...
  
  The Home-Mailers Program.
  
  YOUR SERVICES ARE NEEDED NOW.
  
  Please Respond Today! Positions are limited and time can affect
  your acceptance for desired positions.
  
  FILL OUT APPLICATION AND RETURN TO OUR ADDRESS BELOW
  
 Last Name:____________________  First Name:_______________________
 Mailing Address:_________________________________________________
 City:____________________________ State:_______________________
 Zip Code:______________________
 Home Tel.#: (_______)________-_________  Age:______
 Date of Birth:_____/_____/______
 E-mail Address:______________________________
 Do you work more than 40 hours per week?  [  ]Yes   [  ]No
 (READ AND SIGN BELOW) By signing, I state that I am interested in
 becoming a Home-Mailer for your company and wish to have all of the
 necessary materials and instructions sent to me at the above address.
  
 Signature_______________________________  Date:______/______/______
  Code # CY0795
  
**Processing fee must be in US FUNDS ONLY please.**
  
*If applicant is under 18 have a guardian sign above and indicate
age of applicant.
*If you don't have access to a printer, you may copy the application
onto regular notebook paper. Please use pen. (NOTE: Please be sure to
include the Code # on your application. Applications without a Code #
can not be processed.)
*All fees are one time fees. You will not be required, asked, or need
to pay us any other fees to stay with us and stay as long as you
like. All potential pay rates are Guaranteed!
*Please note that personal checks may be held up to 30 days for
bank clearance. If you are eager to get started, you should use a
Money Order for your processing fee.
  
Send Application and a $27.00 Check or Money Order (US FUNDS ONLY)
made payable to NetServ
  
Send to:

NetServ
2135A des Laurentides Blvd
Suite 174
Laval, Quebec, Canada H7M 4M2
  
  
  Because we are a company recruiting people from the public we must
assure you that we are the BEST company to work with and that we provide
the MOST PROFITABLE income. Because we require an initial fee to get
started, many people are skeptical, and miss out on a great opportunity.
This fee covers our expenses for materials, postage, handling, and the time
it takes us to get you started. It also assures us that you are serious about
working with the Home-Mailers Program. We know that current Home-
Mailers are happy and making an excellent income just from reading their
testimonials. This makes us happy and enables us to succeed and continue
our success together. Here are just a couple of the many testimonials
received from Home-Mailers:
  
  I want to thank you for giving me this opportunity
  to work for your company. It couldn't have come along
  at a better time. The work is so simple and the pay is
  incredible. My wife and I have been stuffing envelopes
  together part-time and are exceeding what either of us
  make at our full-time jobs. Thanks again!
     J. Thomas ------ Miami, FL
  
  Thank you for everything! I was having trouble
  making ends meet at my present employment. But
  thanks to you and your Home-Mailers Program, I was
  able to pay off some old bills and put money in the
  bank. Now I'm looking forward to taking a well
  deserved vacation.
     M. Daniels ----- Seattle, WA
  
Why do we need Home-Mailers? The cost of supplying an office is more
expensive than most people may think. The cost of office space per square
foot, + taxes employing mailing staff, + taxes employing supervisors, +
taxes, medical insurance, dental insurance, and office liability insurance,
multiplied by each region we cover, all involving paperwork, accountants
and more taxes. WE NEED YOUR SERVICES TO SAVE TIME AND MONEY!
Your role in our company is as an Independent Commission Mailer, not an
employee. We will not take taxes from your paychecks and we cannot offer
medical or dental insurance. As a Home-Mailer, your residence and many
other aspects of everyday living may be able to be declared business
expenses. Receive cash-back on your taxes! You may request copies of
personal materials at any time at no charge to yourself. All business can 
be done by mail, from your own home. You can start the same day you
receive our materials and begin receiving money within days and have a
steady income as long as you desire. These positions require no prior
experience or special skills. There are many distribution companies who
want to expand their businesses, but do not want to pay the higher 
expenses. It is much easier to have independent Home-Mailers earn 
money doing this work themselves. This program is designed to help 
people cash in with a company who needs Home-Mailers. The Home-Mailers
Program has been perfected so that it has become one of the most 
successful and profitable programs ever and is supplying people around the
world with excellent primary and secondary incomes. We invite you to take
part in our success. The money you earn is up to you. We do not require 
that you mail a certain number of envelopes each week. You can take on
whatever amount of business that fits your schedule and you can stop
whenever you want, there are no obligations. There is no need to do any
door to door selling or phone soliciting. You may work in the comfort of your
own home, choose your own hours, set your own pace. No need to leave
your present job. Form workshops with your friends or get the whole family 
to join in. The possibilities are UNLIMITED!
  
  DUE TO COMPANY EXPANSION
  YOUR SERVICES ARE NEEDED NOW.
  Thank you, and we're looking forward to working
  with you, together in the future.
  


 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  <B>
</B>
</FONT></HTML>"
13,"<http://www.vitafactory.com/>
<http://www.vitafactory.com/ad-saturday/1.html>
<http://www.vitafactory.com/ad-saturday/>
<http://www.vitafactory.com/ad-saturday/2.html>
Unsubscribe:
Please send a blank mail to:
unsub-56446664-9@william.monsterjoke.com
<http://www.mach10.com/>"
14,"For 
                                       Immediate Release
Cal-Bay (Stock Symbol: CBYI) 
      Watch for analyst ""Strong Buy Recommendations"" and several advisory newsletters 
      picking CBYI.   CBYI has filed to be traded on the OTCBB, 
      share prices historically INCREASE when companies get listed 
      on this larger trading exhange. CBYI is trading around 25 cents 
      and should skyrocket to $2.66 - $3.25 a share in the near future.   
      Put CBYI on your watch list, acquire a postion
TODAY.
REASONS TO INVEST IN CBYI
A profitable company and is on track to beat ALL 
      earnings estimates
!
One of the FASTEST growing distributors in environmental & safety 
      equipment instruments.
Excellent management team, several EXCLUSIVE 
      contracts.  IMPRESSIVE client list including the U.S. Air Force, 
      Anheuser-Busch, Chevron Refining and Mitsubishi Heavy Industries, 
      GE-Energy & Environmental Research.
RAPIDLY GROWING INDUSTRY
Industry revenues exceed $900 million, estimates indicate that there 
      could be as much as $25 billion from ""smell technology"" by the end of 
      2003.
!!!!! CONGRATULATIONS 
      !!!!!
Our last recommendation to buy ORBT at 
      $1.29 rallied and is holding steady at $4.51!  
      Congratulations to all our subscribers that took advantage of this 
      recommendation.
ALL removes HONERED. Please allow 7 
      days to be removed and send ALL address to:
NeverAgain@btamail.net.cn
<mailto:UnSubscribe@btamail.net.cn>
Certain statements contained in this news release may be 
forward-looking statements within the meaning of The Private Securities 
Litigation Reform Act of 1995. These statements may be identified by such terms 
as ""expect"", ""believe"", ""may"", ""will"", and ""intend"" or similar terms. We are NOT 
a registered investment advisor or a broker dealer. This is NOT an offer to buy 
or sell securities. No recommendation that the securities of the companies 
profiled should be purchased, sold or held by individuals or entities that learn 
of the profiled companies. We were paid $27,000 in cash by a third party to 
publish this report. Investing in companies profiled is high-risk and use of 
this information is for reading purposes only. If anyone decides to act as an 
investor, then it will be that investor's sole risk. Investors are advised NOT 
to invest without the proper advisement from an attorney or a registered 
financial broker. Do not rely solely on the information presented, do additional 
independent research to form your own opinion and decision regarding investing 
in the profiled companies. Be advised that the purchase of such high-risk 
securities may result in the loss of your entire investment.
The owners of this publication may already own free trading shares in 
CBYI and may immediately sell all or a portion of these shares into the open 
market at or about the time this report is published.  Factual statements 
are made as of the date stated and are subject to change without notice.  
Not intended for recipients or residents of CA,CO,CT,DE,ID,
IL,IA,LA,MO,NV,NC,OK,OH,PA,RI,TN,VA,WA,WV,WI. Void where 
prohibited.
Copyright c 2001"
15,"Just sent you a note with the wrong link. Tthe correct one is 

http://letscreatebiz.com/whjoinfree  

It is worth a minute of your time to check it out.


Remember, you have nothing to lose and potentially a lot to gain!


Best Regards,

Wayne

---------------------------------------------------
To be removed from future mailings, simply
respond with REMOVE in the subject line.


http://xent.com/mailman/listinfo/fork"
16,"新網頁1
職 場 快 報
二十一世紀的明日之星
★親 旺 連 鎖 超 商★
在一片不景氣中，日用品市場仍一枝獨秀。無論是在海內外，
皆是一樣。經濟學者預估，日用品市場仍是主宰經濟大軸。
一份付出，一生關懷
聯合消費,共享回饋,輕鬆加盟,備受尊榮
的經營理念。可說是目前連鎖超商中的一顆明亮之星。
為了拓展業務，我們成立網路行銷特訓專業課程
,歡迎您來投入<http://gto.h8h.com.tw/網路特訓/特訓首頁.htm>
教育做到標準化、制度做到合理化，並以傳銷及傳統連鎖超商雙方面行銷
【這是一個充滿愛與希望的事業，歡迎您的加入。】
經濟困難者，但能力強、有衝勁。一起合作共同成長。
詳情請洽:  陳店長<http://gto.h8h.com.tw/>
請勾選您是否需要我們免費的創業光碟
我要索取免費的創業光碟
中文姓名
(請填中文全名)
聯絡電話 : 大哥大
住家
(必填欄位)
地址
(必填欄位)
最方便面談時間
請選擇
星期一
星期二
星期三
星期四
星期五
都可以
假日
晚上7:30-9:00
年齡
歲(須18歲以上)
性別
請選擇
男
女
職業
請選擇
內勤上班族
業務行銷
SOHO族
自己當老板
職業婦女
家庭主婦
待業中
學生
其他
其它
星座
請選擇
牡羊座
金牛座
雙子座
巨蟹座
獅子座
處女座
天枰座
天蠍座
射手座
摩羯座
水瓶座
雙魚座
婚姻狀況
請選擇
未婚
已婚
兼職動機
請選擇
錢不夠用
增加第二份收入
創業當老板
就是想賺錢
最方便聯絡時間
請選擇
星期一
星期二
星期三
星期四
星期五
星期六
星期日
都可以
請選擇
上午9-12
中午12-1
下午1-5
晚上8-10
晚上9-11
都可以
電子郵件
建議事項
您對於
連鎖超商事業
的創業意願
我很有興趣  
  （優先）
我稍微瞭解
我完全不瞭解
您要選擇何種方式進行
連鎖超商事業
傳統方式
網路方式
您每天有１∼２小時上網時間可以運作
連鎖超商事業
我有
我沒有
您是否願意免費接受
網路行銷高手特訓
我願意
我不願意
若本訊息非您所預期，在此深感抱歉^^"
17,"ATTN:MANAGER



HELLO DEAR,

I am well confidence of your capability to assist me
in
a transaction for mutual benefit for both parties, ie
(me and you) I am also believing that you will not
expose or betray the trust and confidence I am about
to establish on you. I have decided to contact you
with greatest delight and personal respect.

Well, I am BELLO SANKOH, Son to MR FODAY SANKOH
who was arrested by the ECOMAOG PEACE KEEPING FORCE
months ago in my country Sierra Leone.
Few days before the arrest of my father, he confided
in me and ordered me to go to his underground safe and
move out immediately, with a Deposit Agreement and
Cash Receipt he made with a security Company in
Abidjan Cote d'Ivoire where he deposited One Iron Box
containing USD$ 22 million dollars cash (Twenty Two
Million dollars cash). This money was made from the
sell of
Gold and Diamond by my FATHER and he have already
decided to use this money for future investment of
the family before his arrest.

Thereafter, I rushed down to Abidjan with these
documents and confirmed the deposit of the box by my
father. Also, I have been granted political stay as a
Refugee by the Government of Côte d'Ivoire.

Meanwhile, my father have instructed me to look for a
trusted foreigner who can assist me to move out this
money from Côte d'Ivoire immediately for investment .
Based on this , I solicit for your assistance to
transfer this fund into your Account, but I will
demand for the following requirement:

(1) Could you provide for me a safe Bank Account where
this fund will be transferred to in your country or
another nearby country where taxation will not
take great toll on the money?

(2) Could you be able to assist me to obtain my
travelling papers after this transfer to enable me
come over to meet you in your country for
the investment of this money?

(3) Could you be able to introduce me to a profitable
business venture that would not require much technical
expertise in your country where part of this fund
will be invested?

Please, all these requirements are urgently needed as
it will enable me to establish a stronger business
relationship with you hence I will like you to be the
general overseer of the investment thereafter. I am a
Christian and I will please, want you to handle this
transaction based on the trust I have established
on you.

For your assistance in this transaction, I have
decided to offer you 12% percent commission of the
total amount ( 22 million dollars ) at the end of this
business. The security of this business is very
important to me and as such,
I would like you to keep this business very
confidential.

I shall expect your urgent reply.

My telephone number is 22507625348.

Thank you and God bless you
BELLO SANKOH Tel :22507625348

_________________________________________________________ 
Envoyez des messages musicaux sur le portable de vos amis 
 http://mobile.lycos.fr/mobile/local/sms_musicaux/"
18,"Hi !  Your name was submitted as someone who might be interested in making money at home.  If this is in error, please excuse this email and delete it. This is a one time mailing. ""DO NOT REPLY UNLESS YOU WANT MORE EMAILS""!!!

If you ARE interested in Making Money At Home, send an email to
giftman@post.com and put ""Request Info"" in the Subj. line.

Thanks and have a nice day.    

-------------------------------------------------------------------------------------------
Under Bill s.1618 TITLE III passed by the 105th U.S. Congress this letter is not considered ""spam"" as long as we include:
1)contact information and,
2)the way to be removed from future mailings (see below).

To Remove Yourself From This List: 
Please reply with the email address that you would like removed and the word REMOVE in the subject heading."
19,"ReliaQuote - Save Up To 70% On Life Insurance
<http://www.reliaquote.com/termlife/default.asp?sourceid=39200000022000000338>
10-Year 
                  Level
Term Life Insurance
Male/Female 
                  Monthly Premiums
No Nicotine
$250,000
$500,000
Age
Male
Female
Male
Female
35
$10.33
$9.19
$16.19
$14.00
40
$13.30
$11.64
$22.32
$18.82
45
$19.43
$16.63
$35.57
$22.88
50
$29.49
$22.32
$54.69
$40.25
55
$44.89
$32.12
$85.32
$59.94
<http://www.reliaquote.com/termlife/default.asp?sourceid=39200000022000000338>
© 
              2002 ReliaQuote. All Rights Reserved
Life 
                  can change in an instant. Don't wait until it's too late. Give 
                  your family the security they deserve today with affordable 
                  term life insurance from ReliaQuote.
To unsubscribe from our
mailing list, please
Click
Here
<http://onlineoffers.7a6a.net/onlineoffers/unsubscribe.asp?id=jm@netnoteinc.com>"
20,"Hey there,

If you're like me, you've tried EVERYTHING to lose
weight.  I know how you feel - the special diets,
miracle pills, and fancy exercise equipment never helped
me lose a pound either.  It seemed like the harder I tried,
the bigger I got, until I heard about a product called
Extreme Power Plus.

You're probably thinking to yourself, ""Oh geez, not another
miracle diet pill!""  Like you, I was skeptical at first, but 
my sister swore it helped her lose 23 pounds in just two weeks, 
so I told her I'd give it a shot.  I mean, there was nothing 
to lose except a lot of weight!  Let me tell you, it was
the best decision I've ever made. Period.  Six months later,
as I'm writing this message to you, I've gone from 355 pounds
to 210 pounds, and I haven't changed my exercise routine or diet
at all.  Yes, I still eat pizza, and lots of it!

I was so happy with the results that I contacted the manufacturer
and got permission to resell it - at a BIG discount.  I want
to help other people lose weight like I did, because it
does so much for your self-esteem, not to mention your health.
I give you my personal pledge that Extreme Power Plus
absolutely WILL WORK FOR YOU.  If it doesn't, you can return it
any time for a full refund.    

If you are frustrated with trying other products, not having 
any success, and just not getting the results you were promised,
then I recommend the only product that worked for me - EXTREME
POWER PLUS.

You're probably asking yourself, ""Ok, so how does this stuff
actually work?""

Extreme Power Plus contains Lipotropic fat burners and ephedra which 
is scientifically proven to increase metabolism and cause rapid 
weight loss. No ""hocus pocus"" in these pills - just RESULTS, RESULTS, 
RESULTS!! 

Here is the bottom line ...

I can help you lose 10-15 pounds per week naturally, without
exercising and without having to eat rice cakes all day.  
Just try it for one month - there's nothing to lose, and everything 
to gain.  You will lose weight fast - GUARANTEED.  That is my
pledge to you.  

To order Extreme Power Plus on our secure server, just click
on the link below:

http://tv-discounters.com/extremeorderc13.htm

If you have difficulty accessing the website above, please
try our mirror site by clicking on the link below:

http://www.tv-discounters.com/extremeorderc13.htm

To see what some of our customers have said about this product, 
visit http://tv-discounters.com/testimonials.htm

To see a list of ingredients and for more information
on test studies and how it will help you lose weight, visit 
http://tv-discounters.com/howitworks.htm

*************************************************************
If you do not wish to receive any more emails from me, please 
send an email to ""affiliate5@btamail.net.cn"" requesting to be 
removed.
*************************************************************
8354piYk6-984bbkK1503WDUz9-372KLvP5598wWyb0-379vwvS6145RbWd9-319QSJv4557l68"
21,"DEAR HOMEOWNER,
Dear
HOMEOWNER,
Interest rates are at their lowest point in 40 
              years!
Let us do the shopping for 
              you... AND IT'S FREE!
Our nationwide network of lenders have hundreds of different loan 
            programs to fit your current situation:
Refinance
Second Mortgage
Debt Consolidation
Home Improvement
Purchase
Please CLICK HERE<http://www.812191956734203545847582013@61.129.81.70/pix2/mortgageform.htm> to fill out a quick form. Your 
              request will be transmitted to our network of mortgage specialists.
This service is 100% 
                FREE<http://www.812191956757575734203545847582013@61.129.81.70/pix2/mortgageform.htm> to home owners and new home buyers without any obligation.
Did you receive an email advertisement in error?
Our goal is to only target individuals who would like to take advantage 
      of our offers. If you'd like to be removed from our mailing list, please 
      click on the link below. You will be removed immediately and automatically 
      from all of our future mailings.
We protect all email addresses from other third parties. Thank you
Please remove me.<http://61.129.81.52/remove/remove.htm>"
